Answerer,openai_gpt-3.5-turbo_1,openai_gpt-3.5-turbo_2,openai_gpt-4o-mini_1,openai_gpt-4o-mini_2,ollama_llama3,gpt-4o-mini_student_teacher
gemma Bible Translator,91.31095406360424,91.53003533568905,91.51766784452296,91.33745583038869,80.12014134275618,81.53356890459364
gemma atheist,74.56890459363957,74.56713780918727,75.15371024734982,75.17314487632508,68.18727915194346,56.57243816254417
gemma Politician,82.60247349823321,82.74911660777386,82.07243816254417,82.39575971731449,70.14487632508833,51.581272084805654
GPT 3.5 Bible Translator,91.83922261484099,91.86219081272085,91.85159010600707,91.76855123674912,83.60070671378092,85.09363957597174
GPT 3.5 Atheist,81.62544169611307,82.07950530035336,82.19257950530036,82.18727915194346,78.26678445229682,72.18197879858657
GPT 3.5 Politician,85.09717314487632,84.79151943462898,85.07243816254417,85.14487632508833,76.7826855123675,68.07420494699646
llama Bible Translator,92.39929328621908,92.39575971731449,92.45759717314488,92.37279151943463,88.03886925795052,84.46113074204948
llama atheist,71.81625441696113,73.04063604240282,71.73851590106007,72.18551236749117,78.34982332155477,57.46466431095406
llama Politician,78.73498233215548,78.98939929328623,78.08833922261483,78.45936395759718,82.17844522968198,61.475265017667844
mistral Bible Translator,91.31095406360424,91.54770318021201,91.51413427561837,91.66077738515901,83.72968197879858,84.8321554770318
mistral atheist,86.31095406360424,86.52650176678445,86.32332155477032,86.34275618374558,80.45053003533569,75.9452296819788
mistral Politician,86.2773851590106,86.4434628975265,86.2773851590106,86.29858657243817,81.3286219081272,71.57420494699646
gpt-4o-mini Bible Translator,93.04416961130742,93.08127208480565,93.08480565371025,93.1713780918728,86.30035335689045,86.1660777385159
gpt-4o-mini Atheist,90.75088339222614,90.57243816254417,90.81272084805654,90.5530035335689,82.8886925795053,81.28975265017668
gpt-4o-mini Politician,89.43639575971731,89.50883392226149,89.26855123674912,89.4469964664311,82.41342756183745,79.64134275618375
gemma Imam,77.43639575971731,76.8286219081272,76.8339222614841,76.58833922261483,67.14487632508833,51.263250883392224
GPT 3.5 Imam,79.66254416961131,80.21378091872792,79.226148409894,80.0,74.32508833922262,58.70141342756184
llama Imam,77.95583038869258,78.53180212014134,78.52473498233215,77.82155477031802,79.49293286219081,55.57420494699647
mistral Imam,81.26501766784452,80.29505300353357,80.76501766784452,81.25971731448763,76.41166077738517,61.84628975265018
gpt-4o-mini Imam,85.96113074204948,86.17491166077738,85.773851590106,85.6148409893993,80.95583038869258,69.98586572438163
